"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1";"C_01005_0402Metric";1;"100p";;;
2;"C2";"C_01005_0402Metric";1;"10n";;;
3;"C3";"C_01005_0402Metric";1;"4u7";;;
4;"C4,C6";"C_01005_0402Metric";2;"20p";;;
5;"C5,C7,C8,C9,C12";"C_01005_0402Metric";5;"100n";;;
6;"C10,C11";"C_01005_0402Metric";2;"4.7u";;;
7;"D1";"LED_0603_1608Metric";1;"MCP_LED";;;
8;"D3,D4,D5,D6,D8";"LED_0603_1608Metric";5;"LED";;;
9;"D7";"LED_0603_1608Metric";1;"Stat_LED";;;
10;"R1";"R_01005_0402Metric";1;"1k5";;;
11;"R2";"R_01005_0402Metric";1;"4.7k";;;
12;"R3";"R_01005_0402Metric";1;"1k";;;
13;"R4,R5";"R_01005_0402Metric";2;"120";;;
14;"R6,R7,R8,R9,R10";"R_01005_0402Metric";5;"R";;;
15;"J12";"LongSolderPad";1;"5V IN";;;
16;"J15";"PinHeader_1x05_P2.54mm_Vertical";1;"Conn_01x06_Pin";;;
17;"J2";"PinHeader_1x04_P2.54mm_Vertical";1;"SWD";;;
18;"J13";"USB_Micro-B_GCT_USB3076-30-A";1;"USB_B_Micro";;;
19;"J8";"PinHeader_1x07_P2.54mm_Vertical";1;"Conn_01x03_Pin";;;
20;"J1";"LongSolderPad";1;"CAN";;;
21;"J6";"JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical";1;"PWM2";;;
22;"U1";"LQFP-48_7x7mm_P0.5mm";1;"STM32F103C8T6";;;
23;"U2";"SOT-223-3_TabPin2";1;"AMS1117";;;
24;"J14";"PinHeader_1x11_P2.54mm_Vertical";1;"Conn_01x07_Pin";;;
25;"J3";"JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical";1;"I2C1";;;
26;"SW1";"SW_PUSH_6mm_H5mm";1;"SW_Push";;;
27;"Y1";"Crystal_HC49-U_Vertical";1;"Crystal";;;
28;"U3";"DIP-8_W7.62mm";1;"MCP2551-I-P";;;
29;"J5";"JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical";1;"PWM1";;;
30;"J4";"JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical";1;"5V OUT";;;
31;"J7";"JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical";1;"PWM3";;;
